city,population
Bratislava,475503
Košice,229040
Prešov,84824
Žilina,82656
Nitra,77610
Banská Bystrica,76018
Trnava,62955
Trenčín,54740
Martin,52520
Martin,51139
Poprad,49855
Prievidza,45017
Zvolen,42476
Zvolen,39844
Nové Zámky,37791
Považská Bystrica,37706
Michalovce,36704
Spišská Nová Ves,35431
Komárno,32287
Levice,31974
Humenné,31359
Liptovský Mikuláš,30808
Bardejov,30267
Ružomberok,27407
Piešťany,26668
Lučenec,25902
Topoľčany,25249
Pezinok,24900
Trebišov,23213
Dunajská Streda,23044
Trebišov,22890
Čadca,22580
Vranov nad Topľou,22465
Rimavská Sobota,22048
Dubnica nad Váhom,21805
Partizánske,21439
Šaľa,21183
Vranov nad Topľou,20702
Hlohovec,20556
Senec,20116
Senica,19875
Brezno,19790
Nové Mesto nad Váhom,19644
Senica,19430
Malacky,18804
Snina,18712
Dolný Kubín,18095
Rožňava,17569
Púchov,17068
Žiar nad Hronom,16879
Bánovce nad Bebravou,16614
Handlová,16199
Sereď,15737
Stará Ľubovňa,15707
Skalica,15573
Skalica,15471
Kežmarok,15304
Galanta,15277
Kysucké Nové Mesto,14660
Levoča,14256
Detva,13955
Šamorín,13628
Šamorín,13566
Stupava,12685
Sabinov,12349
Zlaté Moravce,11946
Bytča,11535
Revúca,11484
Holíč,11214
Svidník,11096
Myjava,10985
Veľký Krtíš,10647
Kolárovo,10572
Nová Dubnica,10470
Nová Dubnica,10381
Moldava nad Bodvou,10305
Svidník,10168
Stropkov,10067
Fiľakovo,9949
Štúrovo,9777
Banská Štiavnica,9628
Šurany,9562
Modra,9346
Tvrdošín,8952
Smižany,8838
Bernolákovo,8801
Veľké Kapušany,8799
Krompachy,8739
Stará Turá,8724
Vráble,8593
Sečovce,8526
Veľký Meder,8446
Svit,7743
Dunajská Lužná,7622
Krupina,7576
Vrútky,7511
Kráľovský Chlmec,7489
Hurbanovo,7467
Námestovo,7465
Šahy,7267
Jarovnice,7241
Trstená,7213
Hriňová,7182
Liptovský Hrádok,7154
Šahy,7069
Nová Baňa,7007
Ivanka pri Dunaji,6971
Tornaľa,6971
Turzovka,6936
Chorvátsky Grob,6830
Hnúšťa,6762
Želiezovce,6756
Spišská Belá,6646
Krásno nad Kysucou,6544
Lipany,6480
Veľký Šariš,6471
Turčianske Teplice,6412
Nemšová,6335
Beluša,6162
Medzilaborce,5965
Gelnica,5951
Svätý Jur,5941
Rajec,5897
Sobrance,5875
Čaňa,5864
Žarnovica,5830
Vrbové,5739
Oščadnica,5736
Raková,5630
Ilava,5568
Zákamenné,5542
Sládkovičovo,5415
Lendak,5409
Poltár,5333
Šenkvice,5260
Skalité,5247
Gabčíkovo,5232
Slovenský Grob,5202
Tvrdošovce,5183
Rabča,5139
Rovinka,5136
Veľká Lomnica,5120
Dobšiná,5102
Čierny Balog,5062
Nesvady,5014
Dvory nad Žitavou,4999
Šaštín-Stráže,4979
Kremnica,4934
Gbely,4921
Sliač,4894
Brezová pod Bradlom,4848
Rudňany,4789
Sučany,4711
Veľké Úľany,4665
Markušovce,4624
Pavlovce nad Uhom,4620
Cífer,4500
Ľubica,4476
Valaliky,4475
Čierne,4419
Teplička nad Váhom,4379
Močenok,4356
Veľké Zálužie,4350
Cabaj-Čápor,4295
Strážske,4277
Palárikovo,4272
Komjatice,4223
Trenčianska Teplá,4222
Nováky,4197
Turany,4193
Medzev,4107
Šoporňa,4081
Bošany,4063
Jelka,4042
Kúty,4036
Štiavnik,4014
Terchová,4009
Giraltovce,4001
Miloslavov,4000
Oravská Polhora,3974
Kanianka,3974
Leopoldov,3973
Lednické Rovne,3964
Borský Mikuláš,3953
Nižná,3936
Most pri Bratislave,3913
Veľká Ida,3911
Vysoké Tatry,3901
Varín,3896
Malinovo,3887
Trstice,3864
Bystrany,3824
Lehota pod Vtáčnikom,3815
Marcelová,3802
Kecerovce,3794
Spišské Podhradie,3791
